id_estado,id_muncipio,Municipio,,,,
19,1,Abasolo,,,,
19,2,Agualeguas,,,,
19,3,Los Aldamas,,,,
19,4,Allende,,,,
19,5,Anáhuac,,,,
19,6,Apodaca,,,,
19,7,Aramberri,,,,
19,8,Bustamante,,,,
19,9,Cadereyta Jiménez,,,,
19,10,El Carmen,,,,
19,11,Cerralvo,,,,
19,12,Ciénega de Flores,,,,
19,13,China,,,,
19,14,Doctor Arroyo,,,,
19,15,Doctor Coss,,,,
19,16,Doctor González,,,,
19,17,Galeana,,,,
19,18,García,,,,
19,19,San Pedro Garza García,,,,
19,20,General Bravo,,,,
19,21,General Escobedo,,,,
19,22,General Terán,,,,
19,23,General Treviño,,,,
19,24,General Zaragoza,,,,
19,25,General Zuazua,,,,
19,26,Guadalupe,,,,
19,27,Los Herreras,,,,
19,28,Higueras,,,,
19,29,Hualahuises,,,,
19,30,Iturbide,,,,
19,31,Juárez,,,,
19,32,Lampazos de Naranjo,,,,
19,33,Linares,,,,
19,34,Marín,,,,
19,35,Melchor Ocampo,,,,
19,36,Mier y Noriega,,,,
19,37,Mina,,,,
19,38,Montemorelos,,,,
19,39,Monterrey,,,,
19,40,Parás,,,,
19,41,Pesquería,,,,
19,42,Los Ramones,,,,
19,43,Rayones,,,,
19,44,Sabinas Hidalgo,,,,
19,45,Salinas Victoria,,,,
19,46,San Nicolás de los Garza,,,,
19,47,Hidalgo,,,,
19,48,Santa Catarina,,,,
19,49,Santiago,,,,
19,50,Vallecillo,,,,
19,51,Villaldama,,,,
