NP,,Nombre,Estado,municipio,Colonia,Dirección,latitud,longitud
397,Aurora,Miscelánea Miguelito,Oaxaca,Oaxaca de Juárez,Centro ,Porfirio Diaz Col. Centro CP 68000,-96.7247484,17.071187401
398,Aurora,Miscelánea Farol de Natalia ,Oaxaca,Oaxaca de Juárez,Centro,Gurrion Col. Centro CP 68000,-96.7234772,17.0653696
399,Aurora,La cieneguita 2 ,Oaxaca,Oaxaca de Juárez,La cieniguita,calle la cienega 11 Col. La cieniguita CP 68127 ,,
400,Aurora,Miscelánea Yautepec,Oaxaca,Oaxaca de Juárez,Lomas de Crestón ,Calle C Arcoíris Col. Lomas de Crestón CP 68050 Oaxaca ,-96.7208355,17.087375017
401,Aurora,Miscelánea Rocío ,Oaxaca,Oaxaca de Juárez,Fraccionamiento Lomas del Crestón ,Rocío 308 Col. Fraccionamiento Lomas del Crestón ,-96.7204231,17.086310883
402,Aurora,Dulcería el Andador,Oaxaca,Oaxaca de Juárez,Centro ,Macedonio Alcala Col. Centro CP 68000,-96.7238512,17.066109364
403,Aurora,Los Reyes,Oaxaca,Oaxaca de Juárez,Centro ,Calle Morelos Col. Centro CP 6800 Oax ,-96.7159678,17.061240876
404,Aurora,Chiqui Súper,Oaxaca,Oaxaca de Juárez,Centro,Garcia Virgil Col. Centro CP 68000 Oax,-96.7244788,17.067708341
405,Aurora,Miscelánea Doña Ofe,Oaxaca,Oaxaca de Juárez,Ocotlán de Morelos,Calle Benito Juarez 111 Col. Ocotlan De Morelos ,-96.675916666667,16.789918333333
406,Aurora,Mariscal ,Oaxaca,Oaxaca de Juárez,Libertad,Cuauhtémoc Col. Libertad CP 68090 Oax ,-96.73481,17.062224105
407,Aurora,Miscelánea Memito ,Oaxaca,Ocotlán de Morelos,Centro ,Carretera  Angel  Km 32.50 Col. Centro ,-96.67034,16.78383
408,Aurora,Miscelánea Lupita ,Oaxaca,Ocotlán de Morelos,Centro ,Independencia Col. El Centro ,-96.681101666667,16.78598
409,Aurora,Cremería Juquilita 2,Oaxaca,Ocotlán de Morelos,San Antonino Castillo Velasco,Gregorio Gomez Col.San Antonino Castillo Velasco,-96.673818333333,16.790976666667
410,Aurora,Abarrotes CESMA ,Oaxaca,San Antonino Castillo Velasco,San Antonino Castillo Velasco,Calle  Aldama Col. San Antonino Castillo Velasco,-96.68438,16.8044875
411,Aurora,Depósito Tavo,Oaxaca,Santa Rosa, San Juan Chilateca ,Carretera Puerto Angel Col. San Juan Chilateca ,-96.746436666667,17.089651666667
412,Aurora,Miscelánea Dani ,Oaxaca,Oaxaca de Juárez,Animas Trujano,Carretera a Puerto Ángel sin número Col. Animas Trujano CP 71244 ,-96.7310763,16.56925019
413,Aurora,Miscelánea Yael ,Oaxaca,San Agustín de las Juntas,San Agustín de las Juntas ,Reforma Col. San Agustín de las Juntas CP71238 ,-96.7127148,17.0139528
414,Aurora,Miriam,Oaxaca,San Agustín de las Juntas,San Agustín De Las Juntas ,Jalle Río Colorada Col. San Agustín De Las Juntas ,-96.7111259,16.993756526
415,Aurora,Olguita ,Oaxaca,Oaxaca de Juárez,Centro ,Calle Río Progreso 25A  Col. Centro ,-96.7122037,16.990659342
416,Aurora,Mis Miriam,Oaxaca,,Santa María,Calle Unión Col. Santa María CP 71254 ,,
417,Aurora,Gómez,Oaxaca,,San Bartolo Coyotepec ,Calle Río Hidalgo Col. San Bartolo Coyotepec ,,
418,Aurora,Mini Super Esquina ,Oaxaca,Santa Cruz Xoxocotlán ,Ocotlán,Calle Benito Juárez Col. Ocotlán CP 71510 ,-96.747306666667,17.00651
419,Aurora,Lumico,Oaxaca,San Antonio de la Cal ,Villa De Zaachila ,Zalle Río Leobaa Col. Villa De Zaachila ,-96.7540279,16.950939198
420,Aurora,Felix,Oaxaca,San Raymundo Jalpan ,San Raymundo Jalpan ,Jalle Río Calles Col. San Raymundo Jalpan ,-96.7605105,16.970325375
421,Aurora,Vero ,Oaxaca,Santa Cruz Xoxocotlán,San Juan Bautista,Ralle Río Juarez Col. San Juan Bautista La Raya ,-96.7276187,16.978034966
422,Aurora,ABARROTES REYES ,Oaxaca,San Juan Chilateca,San Juan Chilateca,Calle Cuauhtémoc 4 Col. San Juan Chilateca entre avenida del Carmén y calle agricultores CP 71508 ,,
423,Aurora,Miscelánea la Chiquita ,Oaxaca,Villa de Zaachila,Lomas de la Cuesta,Carretera Ocotlán 1236 Col. Lomas de la Cuesta CP 71317 ,,
424,Aurora,Bodega Aurrera OAXACA ,Oaxaca,Oaxaca de Juárez,del Maestro,"Santa Rosa, Carr. Internacional 1708, Col del Maestro, 68010 Oaxaca de Juárez, México",,
425,Aurora,OMNILIFE DE MÉXICO SA DE CV/ Huajuapan,Oaxaca,Huajuapan de León ,Tepeyac,calle 2 de abril no. 66 Col. Tepeyac Huajuapan de León CP6900 Oaxaca,,
426,Aurora,OMNILIFE DE MÉXICO SA DE CV/ Oaxaca,Oaxaca,Oaxaca de Juárez,Centr,Av. Independencia no. 1501-c Col. Centro Oaxaca de Juárez CP68000 Oaxaca ,,
427,Aurora,OMNILIFE DE MÉXICO SA DE CV/ Tuxtepec,Oaxaca,San Juan Bautista Tuxtepec ,Fraccionamineto Costa Verde ,Calle 4 esquina Avenida 5 no. 16 Col. Fraccionamiento Costa Verde,,
427,Aurora,OMNILIFE DE MÉXICO SA DE CV/ Salina Cruz ,Oaxaca,Salina Cruz,Barrio Espinal ,Av. Manuel Ávila Camacho no. 713 Col. Barrio Espinal Salina Cruz CP 70650 Oaxaca ,,
