Aguascalientes,Aguascalientes,Chatafierros San Pedro,Autorizado SSMAA_GIR_MIR_050_18,,Pedro,"Av. Mahatma Gandhi 703 col. San Pedro, Aguascalientes",20280,,Lunes a viernes 9:00 a 6:00 sabdado 9:00 a 2:00, 449 917 1715,,chatafierrosanpedro@hotmail.com,"https://www.google.com/maps/place/Av+Mahatma+Gandhi+703,+Desarrollo+Especial+Centro+de+Abastos,+20280+Aguascalientes,+Ags./@21.8413461,-102.2937303,3a,75y,225.58h,92.22t/data=!3m6!1e1!3m4!1sIsh3ZehqsGWkNVNaLYPi6g!2e0!7i13312!8i6656!4m5!3m4!1s0x8429edb6b4b37d7f:0x74e7fe17f5af488c!8m2!3d21.8413096!4d-102.293756",21.84875,102.294053, $	3.00 ,,,, $	2.00 ,, $	17.00 ,SI, $	2.50 ,,, $	2.00 ,, $	0.20 ,,,
Aguascalientes,Aguascalientes,"Poliestireno del Centro, S.A. de C.V.",,No compra solo recibe donaciones para reciclar ,David Sánchez,"Morelos 110, Int.2, Zona Centro, Aguascalientes, Ags.",20000,,,449 918 3394,,dsanchez@policen.com.mx,,,,,,,,,,,,,,,,,,SI,,
Baja California,Ensenada ,"
Centro de Acopio de Materiales Reciclables
",Licencia ambiental,Dice tener autorización pero no compartió el permiso,Victor Hugo Román González,"Camino Vecinal a Gómez Morin s/n, Colonia Gómez Morin, s/n,.  Ensenada Baja California.  ",22842,Cerca del Cerezo municipial,"Lunes a viernes de 8:00 a 16:00 
Sabados de 08:00 a 12:00  pm","646 156 3242
646 149 0929",,camrec@hotmail.com,,,,$1,SI, $	1.50 ,,,,,si,,,, $	0.50 , $	1.00 ,0.25 solo envase entero,,,
Baja California,Ensenada ,El Centinela Recicladora,,Si emiten factura,,Paseo de todos los santos 311 Col. Parque Industrial Chapultepec Ensenada.,22785,,Lunes a Viernes 08:00 A 17:00 ,646 120 2129,,,"https://www.google.com.mx/maps/@31.8652718,-116.5991306,3a,75y,203.05h,87.25t/data=!3m6!1e1!3m4!1s01bJUw7mXG7M-gtZhlGrDA!2e0!7i13312!8i6656",31.865329,116.599208,,,,,,, $	15.00 ,SI, $	2.20 ,,,,,,,,
Baja California,Ensenada ,Cimarrón S.A DE C.V,,Dice tener autorización pero no compartió el permiso / no da precios por telefono,Gregorio Mendéz,"Av. José Murúa Martínez 18900 Col. vallevista Delegación Centenario,  Tijuana",22456,,Lunes a Viernes 8:00 a 16:30       Sabado 8:00 a 13:00,664 623 0049                     664 682 8167,,recepcioncimarrontj@hotmail.com,,,,,,,,,,si,SI,si,,,,,,,,
Baja California,Ensenada ,Metalmex de Ensenada S. DE R.L DE C.V,,No da precios via telefonica,Cristel Cortéz,"Blv. Abelardo L. Rodriguez 175 col. Josefa Ortíz de Dominguez, Ensenada, B.C.",22890,oxxo en la esquina,Lunes a Viernes de 8:00 a 17:00                                                Sab 8:00 a 13:00, 646 176 4004,,metalmexens@gmail.com,"https://www.google.com/maps/place/Metalmex/@31.8477715,-116.6030868,15z/data=!4m2!3m1!1s0x0:0xf4722ee4df7590cb?sa=X&ved=2ahUKEwjE_pqI14HrAhUJTawKHWeHDgEQ_BIwCnoECBMQCA",31.848464,116.603065,si,,si,,,,si,Si,si,,,SI,si,,,,
Baja California,Mexicali, Universal Recycling S. De R.L. De C.V.,,Antes de entregar material requiere una muestra de PEBD transparente para evaluar su calidad y saber si lo aceptan,Juan Medina,"Carretera Sn. Felipe Km 3.5 s/n, Col. Gonzalez Ortega",21397,,,686 561 8333,,jmedina@urmexicali.com,"https://www.google.com.mx/maps/@32.5843879,-115.4284607,3a,49.6y,36.61h,92.29t/data=!3m6!1e1!3m4!1skcuhmVCCJudVSzsnhbM0og!2e0!7i13312!8i6656",32.585996,115.428937,SI,"4.50 multi
$6 lechero
$2.5 verde",$3.50 limpia,,,,,,,,,SI,,,,,
Baja California,Mexicali,Hyperplastics S.A. de C.V.,,,Genaro López,"Km 20 s / n, carretera San Luis Rio Colorado Col. Ejido Cuernavaca, Mexicali, Baja California",21624,,Lunes  a Viernes de 06:00 a 15:30," 664 437 3397
664 102 5518 
ext. 4 ",www.hplastics.com.mx,"gelopez@hplastics.com.mx  jmartinez@hplastic.com.mx
lopez-lara@hotmail.com
",,,,$4 mixto,, $	2.00 ,,,, $	11.00 ,, $	0.70 ,,,,,,,,
Baja California,Mexicali,Recicladora Flores Magon,,"Arriba de una tonelada pueden emitir factura 
","Guillermo Cabanillas
Jesus Aceves","carretera ahumadita km 1.3, Col. Reacomodo San Fernando ",21323,,Lunes a Virnes de 08:00 a 17:00                                                                                 Sabado 08:00 a 16:00,"686 555 8898
664 484 0989",,rbc.mexicali@gmail.com,https://goo.gl/maps/CxPes52Ubj9rvccbA,32.599569,115.520885, $	3.00 , $	4.00 , $	1.50 ,,,, $	16.00 ,, $	1.20 ,,,, $	2.00 ,,,,
Baja California,Tijuana,Hyperplastics S.A. de C.V.,,,Genaro López,"Av 20 de noviembre 3510, tijuana, B.C.",22206,,Lunes  a Viernes de 08:00 a 17:00," 664 437 3397
664 102 5518 
ext. 4 ",www.hplastics.com.mx,"gelopez@hplastics.com.mx  jmartinez@hplastic.com.mx
lopez-lara@hotmail.com
",,,,$4 mixto,, $	2.00 ,,,, $	11.00 ,, $	0.70 ,,,,,,,,
Baja California,Tijuana,Alan Recycling,,Solo recibe material limpio,,Carretera Tijuana - Tecate km 32.5 andador vrcinal 10152 col valle redondo Del la presa,22720,,Lunes a Domingo 8:00 a 16:00 ,"664 626 8035
664 903 2130",,alanrecycling@gmail.com,"https://www.google.com.mx/maps/@32.4709247,-116.7941748,3a,75y,30.86h,88.93t/data=!3m6!1e1!3m4!1smXuYkU6s0PwX4RWrF99WQA!2e0!7i13312!8i6656",32.485694,116.922909,No,,,,,, $	8.00 ,SI, $	2.90 ,,,,,,,,
