Aguascalientes,Aguascalientes,Centro de Acopio Accion Amigable - Gobierno,Se reciben sin residuos organicos,"Avenida Universidad 933, Bosques del Prado Sur, CP. 20130
Aguascalientes, Ags.",,21.914898,-102.312486,,,,,,,Si,,,,,,,,,,,,,Si,"Cobre
Bronce",Si,Si,,,Si,Si,Si,Si,Si,
Aguascalientes,Aguascalientes,Punto Limpio - Centro Comercial Plaza Universidad,Recibe reciclables sin residuos organicos / Donación,"Avenida Universidad 935, Bosques del Prado Sur CP. 20130
Aguascalientes, Ags.",,21.915342,-102.31305,Lunes a Domingo 08:00 am - 03:00 pm,,,,,,Donación,,Donación,,,,,,,,,,,Donación,Donación,Donación,Donación,,Donación,Donación,Donación,Donación,Donación,Donación,Donación
Aguascalientes,Aguascalientes,Héctor Benjamín Gil Guzmán,Se reciben sin residuos organicos,"Carretera Norias de Ojocaliente 1106 Col. Pistas de Oriente. CP. 20196
Aguascalientes, Ags.",,21.87785439,-102.2359921,"Lunes a viernes 07:30 am - 02:30 pm 
Sabado 08:00 - 12:00 pm",449 208 9041,,,,hectorgil32@hotmail.com,Si,,Si,,,,,,,,,,,Si,Si,Si,Si,,,,,,,,
Aguascalientes,Aguascalientes,Recicladora Sanchez,Se reciben sin residuos organicos,"Av. Aguascalientes Pte. 302, Barrio de San Marcos, CP. 20078
Aguascalientes, Ags.",,21.878003,-102.318316,,,,,,,Si,,,,,,,,,,,,,Si,"Cobre
Bronce",Si,Si,,,Si,Si,Si,Si,Si,
Aguascalientes,Aguascalientes,Metramex,Se reciben sin residuos organicos,"Av. Lic Adolfo Ruiz Cortinez 9, Desarrollo Especial el Alba, CP.20329
Aguascalientes, Ags.",,21.876583,-102.343709,,449 976 4735,,,,,"$4.5 mixto
$9 cristal",,$2.00,,,,,,,,,,,$21.00,,,$4.00,,,,,$2.20,,,
Aguascalientes,Aguascalientes,Punto Limpio - Centro Comercial el Dorado,Recibe reciclables sin residuos organicos / Donación,"Valle Dorado, CP. 20235
Aguascalientes, Ags.",,21.861036,-102.30403,Lunes a Domingo 08:00 am - 03:00 pm,,,,,,Donación,,Donación,,,,,,,,,,,Donación,Donación,Donación,Donación,Donación,Donación,Donación,Donación,Donación,Donación,Donación,
Aguascalientes,Aguascalientes,Punto Limpio - Comercial Mexicana,Recibe reciclables sin residuos organicos / Donación,"Jardines del Sol, CP. 20266
Aguascalientes, Ags.",,21.861504,-102.27315,Lunes a Domingo 08:00 am - 03:00 pm,,,,,,Donación,,Donación,,,,,,,,,,,Donación,Donación,Donación,Donación,Donación,Donación,Donación,Donación,Donación,Donación,Donación,
Aguascalientes,Aguascalientes,Punto Limpio - Mercado Soriana,Recibe reciclables sin residuos organicos / Donación,"Av Siglo XXI 183, Villas de Ntra. Sra. de la Asunción 
Aguascalientes, Ags",,21.92694,-102.26643,Lunes a Domingo 08:00 am - 03:00 pm,,,,,,Donación,,Donación,,,,,,,,,,,Donación,Donación,Donación,Donación,Donación,Donación,Donación,Donación,Donación,Donación,Donación,
Aguascalientes,Aguascalientes,Chatarrera,Se reciben sin residuos organicos,"Av. Aguascalientes Sur 1041, Casa Blanca, CP. 20266 
Aguascalientes, Ags.",,21.859819,-102.27598,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,"Majose Recicladora S.A de C.V
Sucursal Cd Industrial",Se reciben sin residuos organicos,"Jesús María Romo 121, Cd Industrial, CP. 20290
Aguascalientes, Ags.",,21.83146883,-102.2842638,,"449 971 1167
449 200 7190",http://espmajose.weebly.com/nosotros.html,,,"maldana@majoserecicladora.com
hpadilla@majoserecicladora.com",Si,,,,,,,,,,,,,,,Rebaba de acero,Si,,,,,,,,
