Aguascalientes,Aguascalientes,Centro de Acopio Accion Amigable - Gobierno,"Avenida Universidad 933, Bosques del Prado Sur, CP. 20130
Aguascalientes, Ags.",21.914898,-102.312486,,,,,,Si,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Punto Limpio - Centro Comercial Plaza Universidad,"Avenida Universidad 935, Bosques del Prado Sur CP. 20130
Aguascalientes, Ags.",21.915342,-102.31305,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,Si,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Héctor Benjamín Gil Guzmán,"Carretera Norias de Ojocaliente 1106 Col. Pistas de Oriente. CP. 20196
Aguascalientes, Ags.",21.8778543932484,-102.235992094104,"Lunes a viernes 07:30 am - 02:30 pm 
Sabado 08:00 - 12:00 pm",449 208 9041,,,hectorgil32@hotmail.com,Si,Si,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Recicladora Sanchez,"Av. Aguascalientes Pte. 302, Barrio de San Marcos, CP. 20078
Aguascalientes, Ags.",21.878003,-102.318316,,,,,,Si,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Punto Limpio - Mercado Soriana,"Av Siglo XXI 183, Villas de Ntra. Sra. de la Asunción 
Aguascalientes, Ags",21.92694,-102.26643,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,Si,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Metramex,"Av. Lic Adolfo Ruiz Cortinez 9, Desarrollo Especial el Alba, CP.20329
Aguascalientes, Ags.",21.876583,-102.343709,,449 976 4735,,,,"$4.5 mixto
$9 cristal",$2.00,,,,,$21.00,$4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Punto Limpio - Comercial Mexicana,"Jardines del Sol, CP. 20266
Aguascalientes, Ags.",21.861504,-102.27315,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,Si,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Punto Limpio - Centro Comercial el Dorado,"Valle Dorado, CP. 20235
Aguascalientes, Ags.",21.861036,-102.30403,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,Si,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Chatarrera,"Av. Aguascalientes Sur 1041, Casa Blanca, CP. 20266 
Aguascalientes, Ags.",21.859819,-102.27598,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Recolector y Manejo de Desperdicios,"Jesús María Romo 119, Cd Industrial, CP. 20290
Aguascalientes, Ags.",21.831504,-102.284985,,449 971 1065,,,,,,,,,,$22.00,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Majose Recicladora S.A de C.V,"Jesús María Romo 121, Cd Industrial, CP. 20290
Aguascalientes, Ags.",21.8314688253123,-102.284263798508,,"449 971 1167
449 200 7190",http://espmajose.weebly.com/nosotros.html,,"maldana@majoserecicladora.com
hpadilla@majoserecicladora.com",Si,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,"Poliestireno del Centro, S.A. de C.V.","Salida Carrillo Km 10. Morelos 110, Int.2, Zona Centro, 
Aguascalientes, Ags.",21.881177,-102.294619,,449 918 3394,http://www.policen.com.mx/,,"dsanchez@policen.com.mx
saguilar@policen.com.mx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Chatarreria Los Negritos,"Blvd. Lic. Adolfo Ruiz Cortines 908, Desarrollo Especial el Alba, CP. 20310
Aguascalientes, Ags.",21.872048,-102.32849,,449 976 4141,,,,,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Grupo Ferroso Lira ,"Av. San Gabriel 145-A, El Rocío, CP. 20190
Aguascalientes, Ags.",21.877439,-102.235914,,449 140 0868,http://grupoferrosolira.com/,Grupo Ferroso Lira,ferrolis.ags@hotmail.com,Si,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Chatarrera Los Pájaros,"José Guadalupe Posada 833, Barrio de Guadalupe, CP. 20059
Aguascalientes, Ags.",21.885821,-102.307381,,,,,,Si,Si,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Se compra PET,"Av. Eugenio Benavides 101, Insurgentes, CP. 20287
Aguascalientes, Ags.",21.852931,-102.309285,,,,,,Si,Si,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Protoss Metales,"Blv Chimecos 2900 Col. Jesus Maria, CP. 20900
Aguascalientes, Ags.",21.992074,-102.333547,,449 238 3979,WWW.PROTOSSMETALES.COM,, servicios@protossmetales.com,,,,,,,Si,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Recicladora Valdez,"Av. Aguascalientes Pte. 605, La España, 20210 Aguascalientes, Ags.",21.863640,-102.317799,,,,,,Si,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,"Reciclayser, S.A de C.V","Av. Aguascalientes Pte. 704, La España, CP. 20210 
Aguascalientes, Ags.",21.860912,-102.316669,,449 913 3304,,,reciclayser@gmail.com,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
